iter	Passed	Remaining
0	156	137266
1	173	76144
2	187	54684
3	203	44433
4	218	38232
5	234	34037
6	245	30519
7	262	28512
8	274	26485
9	290	25247
10	305	24045
11	321	23179
12	336	22358
13	350	21653
14	367	21158
15	382	20599
16	394	19987
17	410	19599
18	428	19351
19	439	18869
20	455	18600
21	476	18534
22	490	18250
23	506	18022
24	522	17828
25	535	17564
26	548	17301
27	563	17117
28	580	17003
29	596	16866
30	607	16604
31	622	16460
32	638	16352
33	655	16271
34	670	16154
35	686	16048
36	703	15992
37	716	15835
38	732	15759
39	748	15684
40	763	15583
41	779	15513
42	794	15421
43	811	15379
44	824	15256
45	839	15191
46	855	15127
47	873	15096
48	893	15117
49	910	15075
50	924	14987
51	940	14935
52	956	14886
53	973	14858
54	991	14836
55	1005	14752
56	1022	14724
57	1036	14657
58	1055	14647
59	1071	14612
60	1086	14556
61	1105	14545
62	1118	14467
63	1133	14412
64	1148	14360
65	1161	14294
66	1180	14283
67	1197	14262
68	1212	14217
69	1227	14166
70	1243	14136
71	1260	14105
72	1277	14084
73	1294	14065
74	1307	14000
75	1323	13964
76	1339	13931
77	1355	13898
78	1373	13893
79	1392	13885
80	1408	13856
81	1426	13850
82	1443	13826
83	1459	13791
84	1475	13762
85	1492	13747
86	1510	13731
87	1527	13710
88	1543	13685
89	1560	13663
90	1576	13631
91	1592	13607
92	1610	13591
93	1624	13552
94	1643	13541
95	1660	13522
96	1673	13475
97	1690	13451
98	1706	13428
99	1725	13425
100	1742	13402
101	1765	13431
102	1778	13379
103	1796	13373
104	1818	13386
105	1835	13371
106	1853	13358
107	1870	13337
108	1886	13311
109	1903	13288
110	1921	13274
111	1936	13242
112	1953	13225
113	1967	13185
114	1985	13174
115	2001	13150
1116	2101	136671117	2118	136431118	2138	136381119	2157	136261120	2173	135961121	2189	135691122	2205	135391123	2222	135161124	2242	135091125	2258	134811126	2278	134711127	2294	134441128	2308	134031129	2323	133691130	2345	133751131	2361	133451132	2379	133281133	2398	13314
134	2416	13301
135	2438	13304
136	2455	13281
137	2471	13251
138	2486	13221
139	2503	13195
140	2519	13170
141	2539	13160
142	2559	13156
143	2577	13138
144	2596	13127
145	2613	13103
146	2627	13065
147	2644	13043
148	2664	13037
149	2682	13017
150	2698	12992
151	2714	12963
152	2728	12927
153	2744	12901
154	2760	12875
155	2778	12859
156	2797	12848
157	2813	12820
158	2830	12800
159	2848	12784
160	2865	12761
161	2883	12746
162	2901	12729
163	2920	12716
164	2937	12692
165	2955	12677
166	2974	12662
167	2991	12641
168	3008	12621
169	3025	12600
170	3043	12585
171	3058	12554
